역사_ID,역사명,호선,위도,경도
4201,서울역,공항철도1호선,37.553247,126.969769
2632,한강진,6호선,37.539631,127.001725
2631,이태원,6호선,37.534488,126.994302
2630,녹사평(용산구청),6호선,37.534675,126.986695
2629,삼각지,6호선,37.535534,126.974032
2628,효창공원앞,6호선,37.539233,126.961384
1261,효창공원앞,경의중앙선,37.538579,126.96221
1251,서울역,경의중앙선,37.557231,126.97103
1010,한남,경원선,37.52943,127.009169
1009,서빙고,경원선,37.519594,126.988537
1008,이촌(국립중앙박물관),경원선,37.522427,126.973406
1003,용산,경부선,37.529849,126.964561
1002,남영,경부선,37.541021,126.9713
1001,서울역,경부선,37.554337,126.971134
430,이촌(국립중앙박물관),4호선,37.522295,126.974733
429,신용산,4호선,37.52917,126.967894
428,삼각지,4호선,37.534075,126.9726
427,숙대입구(갈월),4호선,37.54456,126.972106
426,서울역,4호선,37.55281,126.972556
150,서울역,1호선,37.556228,126.972135
